ID,q4_lat,q4_long,q4_district,q56,Avg_Income,ZONASTAT
"108396",45.063486,7.674161339,Torino,"14",12500.5,"10"
"109012",45.06347993,7.674161339,Torino,"4",2250.5,"10"
"5729",45.06198,7.67353,Torino,"15",15000,"10"
"6244",45.05981,7.67189,Torino,"5",2750.5,"10"
"103046",45.05851679,7.677211761,Torino,"4",2250.5,"10"
"108297",45.06388005,7.674719238,Torino,"15",15000,"10"
"6242",45.06369,7.67532,Torino,"2",1250.5,"10"
"4158",45.05509,7.67189,Torino,"6",3250.5,"10"
"4858",45.05679,7.67144,Torino,"2",1250.5,"10"
"108221",45.05557399,7.672659302,Torino,"3",1750.5,"10"
"105437",45.06175818,7.674461746,Torino,"15",15000,"10"
"107838",45.06236663,7.674636841,Torino,"5",2750.5,"10"
"6217",45.0569,7.6712,Torino,"15",15000,"10"
"514",45.0588,7.6758,Torino,"6",3250.5,"10"
"5867",45.05897,7.67738,Torino,"6",3250.5,"10"
"6830",45.05884,7.6767,Torino,"8",4250.5,"10"
"101099",45.05912,7.67601,Torino,"9",5500.5,"10"
"101537",45.05514956,7.673345947,Torino,"2",1250.5,"10"
"105406",45.05838946,7.676010132,Torino,"15",15000,"10"
"107985",45.05907761,7.674958706,Torino,"2",1250.5,"10"
"102678",45.07178552,7.698283195,Torino,"9",5500.5,"11"
"103932",45.07107177,7.697435617,Torino,"5",2750.5,"11"
"101787",45.0679257,7.701051235,Torino,"4",2250.5,"11"
"107916",45.06857944,7.70113036,Torino,"4",2250.5,"11"
"4727",45.06734,7.70177,Torino,"9",5500.5,"11"
"105197",45.06789541,7.696609497,Torino,"4",2250.5,"11"
"104014",45.07054828,7.694460297,Torino,"2",1250.5,"11"
"102335",45.06808028,7.705450058,Torino,"2",1250.5,"11"
"104995",45.06816136,7.699044943,Torino,"6",3250.5,"11"
"6641",45.06984,7.69838,Torino,"2",1250.5,"11"
"102700",45.07131711,7.693144083,Torino,"15",15000,"11"
