,ID,q3_lat,q3_long,q3_district,q4_lat,q4_long,q4_district,q56,q1_Impo,q6_motcode,Avg_Income
86,535,45.0646,7.6511,Torino,45.06234,7.66123,Torino,4.0,3,11,2250.5
87,576,45.07435,7.64616,Torino,45.06239,7.6619,Torino,3.0,3,5,1750.5
88,578,45.05795,7.67147,Torino,45.06242,7.66246,Torino,12.0,3,10,8500.5
89,584,45.06526,7.64047,Torino,45.06341,7.66022,Torino,2.0,3,11,1250.5
91,594,45.05674,7.6644,Torino,45.06514,7.65867,Torino,14.0,3,10,12500.5
92,596,45.11005,7.75648,San Mauro Torinese,45.06328,7.6605,Torino,2.0,3,1,1250.5
93,600,45.07351,7.66176,Torino,45.06441,7.66208,Torino,11.0,3,11,7500.5
95,625,45.06747,7.64937,Torino,45.06262,7.66068,Torino,3.0,1,9,1750.5
96,635,45.05245,7.6588,Torino,45.06247,7.66255,Torino,15.0,3,5,15000.0
98,645,45.0582,7.64342,Torino,45.06335,7.65981,Torino,3.0,3,5,1750.5
99,654,45.06011,7.66302,Torino,45.06232,7.6616,Torino,7.0,3,11,3750.5
100,655,44.98653,7.73706,Trofarello,45.06333,7.65965,Torino,14.0,3,1,12500.5
101,661,44.67977,7.84286,Bra,45.06982,7.6688,Torino,4.0,1,2,2250.5
102,663,45.08435,7.40072,Avigliana,45.06426,7.65965,Torino,5.0,3,4,2750.5
103,666,45.05899,7.66164,Torino,45.06241,7.66239,Torino,11.0,3,11,7500.5
104,668,45.06723,7.66529,Torino,45.06256,7.66274,Torino,5.0,3,11,2750.5
105,674,45.06421,7.68328,Torino,45.06252,7.66282,Torino,15.0,3,5,15000.0
106,736,45.08193,7.63304,Torino,45.06473,7.65868,Torino,4.0,3,1,2250.5
107,682,45.05673,7.6502,Torino,45.06355,7.66007,Torino,15.0,3,9,15000.0
108,683,45.07361,7.67217,Torino,45.06249,7.66247,Torino,15.0,3,1,15000.0
109,687,45.06235,7.68631,Torino,45.06246,7.66237,Torino,5.0,3,5,2750.5
111,695,45.07713,7.82267,Baldissero Torinese,45.06225,7.66276,Torino,5.0,3,1,2750.5
112,696,44.99318,7.46784,Piossasco,45.06486,7.65878,Torino,6.0,3,2,3250.5
113,700,45.05651,7.65717,Torino,45.06481,7.65835,Torino,14.0,3,11,12500.5
114,702,45.07564,7.51988,Rivoli,45.02962,7.61853,Torino,15.0,3,2,15000.0
115,710,45.06179,7.6729,Torino,45.06287,7.66129,Torino,4.0,3,11,2250.5
117,718,45.04589,7.64525,Torino,45.06258,7.66134,Torino,4.0,3,5,2250.5
118,728,45.04257,7.64885,Torino,45.06222,7.66288,Torino,14.0,3,5,12500.5
120,744,45.06732,7.62219,Torino,45.07084,7.65678,Torino,11.0,3,11,7500.5
121,767,45.0654,7.6551,Torino,45.06303,7.6612,Torino,15.0,3,11,15000.0
122,780,44.97183,7.61388,Vinovo,45.06487,7.65697,Torino,7.0,3,2,3750.5
123,816,45.05835,7.65434,Torino,45.06277,7.66272,Torino,5.0,3,11,2750.5
125,818,45.07638,7.67842,Torino,45.03899,7.60724,Grugliasco,2.0,1,3,1250.5
127,822,45.03957,7.64392,Torino,45.05415,7.68551,Torino,8.0,1,1,4250.5
128,825,44.32612,7.55379,Boves,45.04636,7.66571,Torino,5.0,1,1,2750.5
129,826,45.07869,7.57246,Collegno,45.02646,7.65691,Torino,8.0,1,2,4250.5
132,833,45.07147,7.65443,Torino,45.0627,7.66201,Torino,2.0,3,11,1250.5
133,835,45.01795,7.66012,Torino,45.06242,7.66236,Torino,15.0,3,1,15000.0
135,843,45.068,7.66719,Torino,45.065,7.65687,Torino,8.0,3,11,4250.5
