,SEZCENS,NCIRCO,ZONASTAT,SUPERF,AREA_CENS,CODASC,P_TOT,MALE_TOT,FEM_TOT,age 0-9,age 10-24,age 25-39,age 40-64,age >65,male 0-9,male 10-24,male 25-39,male 40-64,male >65,P47,P48,P49,P50,P51,P52,P61,P62,P128,P130,P131,P135,P137,P138,ST1,ST3,ST4,ST5,ST9,ST10,ST11,ST12,ST13,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,INCOMEinco,home,work,eating,entertainment,recreation,shopping,travel,admin_chores,religious,health,police,education
1044,307,1,08,11356.52,15.0,1.0,114.0,51.0,63.0,10.0,11.0,12.0,53.0,38.0,6.0,6.0,6.0,18.0,15.0,41.0,38.0,13.0,11.0,6.0,0.0,48.0,5.0,46.0,6.0,7.0,3.0,42.0,10.0,9.0,3.0,6.0,0.0,5.0,0.0,4.0,0.0,0.0,67.0,114.0,34.0,23.0,6.0,4.0,0.0,0.0,0.0,5484.39,0.08999999999999998,0.26199999999999996,0.108,0.0,0.0,0.162,0.0,0.054,0.0,0.324,0.0,0.0
1045,316,1,08,16942.29,17.0,1.0,247.0,105.0,142.0,20.0,31.0,37.0,120.0,58.0,6.0,10.0,16.0,45.0,28.0,86.0,76.0,37.0,23.0,12.0,0.0,124.0,3.0,88.0,20.0,14.0,5.0,122.0,16.0,7.0,1.0,6.0,0.0,5.0,0.0,1.0,1.0,0.0,134.0,247.0,62.0,41.0,23.0,6.0,2.0,0.0,0.0,5484.39,0.13764705882352943,0.29058823529411765,0.09529411764705882,0.09529411764705882,0.09529411764705882,0.23823529411764705,0.0,0.0,0.0,0.04764705882352941,0.0,0.0
1046,333,8,09,6569.11,81.0,8.0,199.0,87.0,112.0,20.0,16.0,53.0,75.0,45.0,10.0,7.0,23.0,30.0,17.0,88.0,38.0,29.0,21.0,9.0,0.0,93.0,8.0,71.0,13.0,7.0,8.0,88.0,10.0,25.0,11.0,12.0,2.0,5.0,13.0,2.0,5.0,0.0,116.0,199.0,64.0,34.0,10.0,3.0,5.0,0.0,0.0,5061.799999999998,0.19125,0.1,0.10125,0.10125,0.0,0.405,0.0,0.0,0.0,0.10125,0.0,0.0
1047,347,8,09,6069.96,81.0,8.0,173.0,69.0,104.0,11.0,21.0,41.0,78.0,30.0,7.0,7.0,14.0,25.0,16.0,31.0,53.0,41.0,28.0,10.0,2.0,74.0,11.0,72.0,17.0,12.0,7.0,67.0,18.0,32.0,7.0,19.0,6.0,12.0,8.0,6.0,6.0,0.0,91.0,173.0,40.0,29.0,15.0,5.0,2.0,0.0,0.0,5061.799999999998,0.1523076923076923,0.10000000000000002,0.37384615384615383,0.0,0.0,0.12461538461538461,0.0,0.0,0.0,0.24923076923076923,0.0,0.0
1048,348,8,09,6866.16,81.0,8.0,173.0,88.0,85.0,12.0,15.0,34.0,73.0,47.0,7.0,10.0,17.0,35.0,19.0,37.0,35.0,44.0,33.0,11.0,5.0,71.0,10.0,74.0,12.0,6.0,9.0,68.0,15.0,23.0,9.0,11.0,3.0,3.0,6.0,5.0,9.0,0.0,95.0,173.0,53.0,20.0,12.0,6.0,4.0,0.0,0.0,5061.799999999998,0.09000000000000001,0.18100000000000002,0.162,0.0,0.081,0.486,0.0,0.0,0.0,0.0,0.0,0.0
1049,382,1,10,6957.44,14.0,1.0,169.0,83.0,86.0,16.0,16.0,52.0,61.0,29.0,8.0,10.0,23.0,27.0,15.0,46.0,66.0,14.0,23.0,12.0,0.0,89.0,7.0,54.0,8.0,10.0,7.0,87.0,17.0,11.0,6.0,5.0,0.0,6.0,5.0,0.0,0.0,0.0,90.0,169.0,46.0,23.0,10.0,8.0,3.0,0.0,0.0,5736.54,0.29250000000000004,0.1,0.2025,0.2025,0.0,0.2025,0.0,0.0,0.0,0.0,0.0,0.0
1050,390,1,10,4682.83,14.0,1.0,48.0,20.0,28.0,3.0,7.0,7.0,22.0,16.0,1.0,2.0,5.0,5.0,7.0,19.0,17.0,8.0,1.0,1.0,0.0,21.0,0.0,23.0,3.0,6.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,48.0,8.0,10.0,4.0,2.0,0.0,0.0,0.0,5736.54,0.1285714285714286,0.13857142857142857,0.038571428571428576,0.07714285714285715,0.07714285714285715,0.19285714285714287,0.0,0.07714285714285715,0.0,0.27,0.0,0.0
1051,399,1,10,14165.7,14.0,1.0,289.0,123.0,166.0,22.0,39.0,69.0,118.0,58.0,8.0,24.0,30.0,40.0,21.0,103.0,73.0,65.0,25.0,13.0,0.0,146.0,7.0,97.0,14.0,21.0,11.0,144.0,17.0,50.0,12.0,31.0,7.0,10.0,1.0,20.0,19.0,0.0,140.0,289.0,59.0,42.0,17.0,17.0,3.0,2.0,12.0,5736.54,0.09000000000000001,0.2542857142857143,0.1542857142857143,0.038571428571428576,0.07714285714285715,0.19285714285714287,0.038571428571428576,0.038571428571428576,0.0,0.11571428571428573,0.0,0.0
1052,404,1,10,7801.81,14.0,1.0,56.0,23.0,33.0,6.0,2.0,14.0,29.0,12.0,1.0,0.0,6.0,10.0,6.0,27.0,11.0,8.0,4.0,3.0,0.0,27.0,1.0,21.0,5.0,3.0,1.0,20.0,1.0,7.0,2.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,30.0,56.0,13.0,9.0,7.0,1.0,0.0,0.0,0.0,5736.54,0.09,0.37,0.0,0.0,0.0,0.18,0.0,0.09,0.0,0.27,0.0,0.0
1053,420,7,11,10334.82,71.0,7.0,286.0,144.0,142.0,21.0,34.0,65.0,125.0,57.0,14.0,13.0,32.0,59.0,26.0,50.0,77.0,85.0,44.0,13.0,1.0,124.0,12.0,121.0,19.0,20.0,28.0,111.0,22.0,53.0,18.0,31.0,4.0,31.0,10.0,1.0,11.0,0.0,155.0,286.0,84.0,32.0,23.0,11.0,5.0,0.0,0.0,4606.06,0.140625,0.150625,0.30375,0.0,0.151875,0.151875,0.0,0.0,0.0,0.10125,0.0,0.0
