,Types,Name,Latitude,Longitude,RADIUS
1355,['school'],CONVITTO NAZIONALE UMBERTO I,45.07497579565833,7.675689563859119,33.18245847044029
1356,['school'],Paolo BOSELLI,45.10445731086166,7.647207606818508,29.187991492637273
1357,['school'],COPERNICO,45.02655102377826,7.654448053964602,43.856098035099144
1358,['school'],G. GIOLITTI,45.039206500602575,7.668797985916843,27.804121639350157
1359,['school'],REGINA MARGHERITA,45.05321732367736,7.677471440242304,26.012330430292607
1360,['school'],GIULIO,45.05303035968034,7.677377435276209,17.506163005570947
1361,['school'],I.P.I.A. INTERNAZIONALE,45.0797203138125,7.669182334636872,9.681175794226851
1362,['school'],VALENTINO BOSSO - AUGUSTO MONTI,45.07318910003313,7.673580773639414,26.861452646740048
1363,['school'],L. LAGRANGE,45.076187878964696,7.69006721735999,21.615908889484242
1364,['school'],GIOBERTI,45.070790869030716,7.700422404792612,18.165012384134887
1365,['school'],ATHENAEUM SEZ. SERALE,45.05651344208839,7.682789656830482,15.697781512939251
1366,['school'],Paolo BOSELLI,45.098803900058755,7.657440567472234,29.187991492637273
1367,['school'],MAZZARELLO,45.066309425648356,7.643170831643409,37.72399471133183
1368,['school'],ARDUINO,45.06447056051352,7.71004894995569,38.32465205739259
1369,['school'],VALENTINO BOSSO - AUGUSTO MONTI,45.069602413136515,7.67447810228588,26.861452646740048
1370,['school'],Paolo BOSELLI,45.07042954431488,7.670956912898987,29.187991492637273
1371,['school'],PASSONI,45.06941898041263,7.648513348576693,30.737146662020834
1372,['school'],G. PEANO,45.094297117383505,7.680607737346382,31.951817712484726
1373,['school'],SAN GIUSEPPE,45.06336397252604,7.686173053896663,35.26428195537878
1374,['school'],G. PLANA SEZ. SERALE,45.06086573676006,7.646493182070013,25.985198555466656
1375,['school'],P. BOSELLI,45.10445731086166,7.647207606818508,24.032515204386197
1376,['school'],REGINA MARGHERITA,45.05321732367736,7.677471440242304,26.012330430292607
1377,['school'],ATHENAEUM,45.05651344208839,7.682789656830482,15.697781512939251
1378,['school'],ALTIERO SPINELLI,45.06447056051352,7.71004894995569,38.32465205739259
1379,['school'],SCUOLA D'INFANZIA,45.10635258704897,7.700413476442486,10.573866765358579
1380,['school'],VALLETTE A,45.104811623568814,7.633911857293319,36.17534250275783
1381,['school'],G. LEOPARDI,45.104811623568814,7.633911857293319,36.17534250275783
1382,['school'],SCUOLA D'INFANZIA,45.07300656174305,7.673254553200489,10.573866765358579
1383,['school'],SANTORRE DI SANTAROSA,45.068924746190945,7.64767046658181,37.57090437941788
1384,['school'],ALTIERO SPINELLI,45.06447056051352,7.71004894995569,38.32465205739259
1385,['school'],A. GABELLI,45.091086674934346,7.696177774946425,22.94744237514643
1386,['school'],FRANK,45.07520560565203,7.664259141024508,38.77882262065082
1387,['school'],VIA FLECCHIA,45.02297565013952,7.654237877339571,24.57115243104559
1388,['school'],G.B. VIOTTI,45.090596332718206,7.696046228383873,23.70939178892142
1389,['school'],A. STEINER,45.08273584515171,7.68307325663572,26.78548573288454
1390,['school'],A. STEINER,45.08273584515171,7.68307325663572,26.78548573288454
1391,['school'],PICCOLO PRINCIPE,45.07441552561429,7.639013735542553,10.956509600372186
1392,['school'],AL BOSCHETTO,45.09380861157013,7.657318037394287,11.877670005941091
